airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,6/21/2019,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
Air India,5/18/2019,Delhi,Cochin,9:00:00,7:40:00,1360,1,No Info,8372
Air India,6/12/2019,Kolkata,Banglore,9:10:00,11:05:00,1555,2,No Info,6117
Vistara,4/1/2019,Kolkata,Banglore,20:20:00,22:55:00,1595,1,No Info,7770
Vistara,6/6/2019,Kolkata,Banglore,17:00:00,10:45:00,1065,1,No Info,9187
Jet Airways,6/24/2019,Banglore,Delhi,7:10:00,10:10:00,180,0,No Info,8016
Indigo,5/21/2019,Banglore,Delhi,0:30:00,3:25:00,175,0,No Info,3419
Jet Airways,6/12/2019,Kolkata,Banglore,16:30:00,4:40:00,730,1,No Info,12471
Jet Airways,6/9/2019,Delhi,Cochin,21:50:00,4:25:00,395,1,In-flight meal not included,10262
Jet Airways,3/6/2019,Banglore,New Delhi,22:50:00,9:30:00,640,1,No Info,17261
Spicejet,5/18/2019,Kolkata,Banglore,11:35:00,18:50:00,435,1,No Info,8479
Indigo,3/3/2019,Banglore,New Delhi,7:10:00,10:05:00,175,0,No Info,7648
Jet Airways,3/6/2019,Delhi,Cochin,11:30:00,4:25:00,1015,1,No Info,15764
Multiple Carriers,5/21/2019,Delhi,Cochin,8:00:00,21:00:00,780,1,No Info,14277
Jet Airways,6/9/2019,Delhi,Cochin,17:30:00,12:35:00,1145,1,In-flight meal not included,10262
Air Asia,5/9/2019,Kolkata,Banglore,22:40:00,10:40:00,720,1,No Info,5192
Spicejet,3/24/2019,Kolkata,Banglore,22:20:00,0:40:00,140,0,No Info,5831
Air Asia,4/1/2019,Kolkata,Banglore,6:50:00,10:30:00,220,1,No Info,5162
Indigo,4/15/2019,Delhi,Cochin,7:35:00,16:10:00,515,1,No Info,6442
Multiple Carriers,5/9/2019,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,14323
Jet Airways,3/18/2019,Banglore,New Delhi,22:50:00,20:20:00,1290,1,In-flight meal not included,11087
Jet Airways,5/18/2019,Delhi,Cochin,22:50:00,19:00:00,1210,1,No Info,15554
Jet Airways,5/21/2019,Delhi,Cochin,5:30:00,12:35:00,425,2,No Info,16274
Air India,4/1/2019,Kolkata,Banglore,10:00:00,10:30:00,1470,3,No Info,12954
Indigo,6/3/2019,Banglore,Delhi,1:30:00,4:15:00,165,0,No Info,3943
Jet Airways,6/24/2019,Delhi,Cochin,13:00:00,4:25:00,925,1,In-flight meal not included,10262
Jet Airways,5/6/2019,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,4030
Air India,5/18/2019,Kolkata,Banglore,8:20:00,7:55:00,1415,2,No Info,10697
Jet Airways,6/15/2019,Delhi,Cochin,19:30:00,12:35:00,1025,2,In-flight meal not included,10368
Indigo,4/3/2019,Delhi,Cochin,21:05:00,0:20:00,195,0,No Info,5021
Vistara,5/6/2019,Kolkata,Banglore,20:20:00,20:20:00,1440,1,No Info,8610
Indigo,5/24/2019,Kolkata,Banglore,14:25:00,16:55:00,150,0,No Info,5224
Air India,6/6/2019,Delhi,Cochin,6:50:00,7:40:00,1490,2,No Info,13381
Indigo,5/27/2019,Delhi,Cochin,9:15:00,1:30:00,975,1,No Info,6628
Indigo,6/1/2019,Chennai,Kolkata,5:15:00,7:40:00,145,0,No Info,3540
Jet Airways,5/21/2019,Kolkata,Banglore,8:25:00,20:45:00,740,1,In-flight meal not included,10844
Jet Airways,4/9/2019,Banglore,Delhi,11:10:00,14:05:00,175,0,No Info,7229
Air India,5/12/2019,Kolkata,Banglore,16:45:00,8:55:00,970,2,No Info,13437
Jet Airways,6/18/2019,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,No Info,5678
Jet Airways,3/1/2019,Banglore,New Delhi,8:00:00,8:15:00,1455,1,No Info,22270
